Country,State,City,Age,What is your preferred mode of shopping?,Why do you prefer online shopping?,Which platform do you use for shopping?,For which categories do you shop online?,How satisfied are you by online service?,Would you anytime try going local for shopping?,If you were to switch to retail stores for shopping what type of services do you expect?,Why do you prefer local shopping?,For which categories do you shop local?,How satisfied are you by service of local stores?,Would you anytime go digital for shopping?,If you were to switch to online stores for shopping what type of services do you expect?
India,Maharashtra,Pune,21,Online shopping,Because it's little safer than retailer shopping,Amazon;Flipkart,"Clothing;Footwear;Cosmetics, haircare and skincare;Electronics & appliances",4,Maybe,Expanding the range of items sold by retailer shop,,,,,
India,Maharashtra,Pune,23,Online shopping,Lots of discount,Amazon;Flipkart,Mobile & accessories;Electronics & appliances,4,Yes,,,,,,
India,Maharashtra,Pune,20,Online shopping,Why go out when I can get things at home. Basically it's the laziness I guess...,Amazon;Flipkart,Clothing;Mobile & accessories;Electronics & appliances;Films/DVD's,4,Yes,the billing lines need to shorten,,,,,
India,MAHARASHTRA,PUNE,20,Local stores,,,,,,,All the products can be easily and efficiently checked before buying it,"Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Mobile & accessories;Electronics & appliances",5,Yes,
India,Maharashtra,nashik,20,Online shopping,"shoes, clothes, household items",Amazon;Flipkart,"Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Mobile & accessories;Books;Games",4,Yes,,,,,,
India,Mh,Nanded,20,Local stores,,,,,,,Can check the items personally ,Clothing;Footwear;Food and grocery;Furniture and home decor,4,Yes,"Better return , discounts"
India,Maharashtra ,Kolhapur ,19,Local stores,,,,,,,I can get the required item then and there with quality assurance ,"Clothing;Footwear;Cosmetics, haircare and skincare;Mobile & accessories;Furniture and home decor",3,Yes,
India,Maharashtra ,Amravati ,20,Online shopping,"Time consuming, safer now",Amazon;Flipkart,Clothing;Mobile & accessories;Electronics & appliances;Furniture and home decor,4,Yes,,,,,,
India ,Maharashtra ,Pune,20,Local stores,,,,,,,Reliable ,Clothing;Footwear;Food and grocery;Mobile & accessories;Electronics & appliances;Furniture and home decor;Books,4,Maybe,Speedy repairs 
India,Maharashtra,Pune,20,Online shopping,Yes,Amazon;Flipkart,Clothing;Mobile & accessories;Electronics & appliances;Books,4,Yes,,,,,,
India,Maharashtra ,Walchandnagar ,20,Local stores,,,,,,,"Available at hand and no services are available like Swiggy, big basket",Footwear;Food and grocery,4,Yes,"Faster experience, ease of access and reachable services"
India,Maharashtra,Pune,20,Online shopping,Convenience,Amazon;Flipkart,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Furniture and home decor;Books;Games,3,Yes,,,,,,
India,Maharashtra,Sangli,20,Online shopping,N/a,Amazon;Flipkart,"Cosmetics, haircare and skincare;Mobile & accessories;Electronics & appliances",4,Yes,,,,,,
India,Maharashtra,Pune,20,Online shopping,Time saving,Amazon,"Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Mobile & accessories;Electronics & appliances;Books;Games",5,Yes,,,,,,
India,Madya Pradesh,Harda,21,Online shopping,"Less time consuming,huge variety and various offers.",Amazon;Flipkart,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Books,4,Yes,Huge variety.,,,,,
India,Maharashtra,Chandrapur,20,Online shopping,Easy to use and convenient,Amazon;Flipkart,Clothing;Footwear;Food and grocery;Mobile & accessories;Electronics & appliances;Books;Games,4,Yes,-,,,,,
India,Maharashtra ,Kolhapur ,19,Local stores,,,,,,,I can get the required item then and there with quality assurance ,"Clothing;Footwear;Cosmetics, haircare and skincare;Mobile & accessories;Furniture and home decor",3,Yes,
India,Madya Pradesh,Harda,21,Online shopping,"Less time consuming,huge variety and various offers.",Amazon;Flipkart,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Books,4,Yes,Huge variety.,,,,,
India,Maharashtra,Pune,19,Local stores,,,,,,,Becaus we got good material at local stores as compared to online shopping we don't know about the quality of the product,Clothing;Footwear;Food and grocery;Electronics & appliances;Books;Games,4,Yes,
India,Maharashtra,Aurangabad,20,Local stores,,,,,,,"Can check product in hands, walk freely looking over all products ","Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Furniture and home decor",3,Yes,
India,Maharashtra,Pune,19,Online shopping,"
Ease of access",Amazon;Flipkart,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Books,4,Yes,,,,,,
India,Maharashtra,Pune,20,Online shopping,Faster,Amazon;Flipkart,Mobile & accessories;Electronics & appliances;Books;Games,4,Maybe,Automation of malls,,,,,
India,Maharashtra ,Pune ,20,Online shopping,"Safer, time-consuming. ",Amazon;Flipkart;eBay;Myntra ,"Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Mobile & accessories;Electronics & appliances;Furniture and home decor",4,No,"Better customer service, reinvention of things. ",,,,,
India,Maharashtra,Pune,20,Local stores,,,,,,,Its an overall better experience with no uncertainties.,"Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Furniture and home decor;Books",5,Maybe,"First and foremost, strict quality check for each product. Rest of the options can be adjusted with as long as the quality check is perfect."
Indai,Maharashtra ,Pune,17,Online shopping,"It’s cheap, faster and more convenient ",Amazon;Flipkart,Food and grocery;Mobile & accessories;Electronics & appliances;Games,4,Yes,"Better product choices, cheaper prices, better quality products ",,,,,
India,Maharashtra,Pune,20,Online shopping,It's convenient and much more varieties to choose,Amazon;Flipkart,Clothing;Footwear;Food and grocery;Mobile & accessories;Electronics & appliances;Furniture and home decor;Games,4,Yes,Nothing much just a proper service,,,,,
United States,TX,Richardson,20,Online shopping,Convenience is the biggest factor.,Amazon,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Books,5,Yes,Similar,,,,,
India,Maharashtra,Pune,17,Online shopping,Can find stuff without the hassle of going to different stores,Amazon,"Clothing;Footwear;Cosmetics, haircare and skincare;Electronics & appliances;Books;Games;Films/DVD's",3,Yes,Getting original products and better customer support,,,,,
India,Maharastra,Pune,19,Online shopping,Wide variety of products,Amazon;Flipkart,"Clothing;Footwear;Cosmetics, haircare and skincare;Electronics & appliances;Books;Films/DVD's",4,Yes,Home-delivery service,,,,,
India,Maharashtra,Pune,19,Local stores,,,,,,,"Convenient, Easy to verify",Clothing;Footwear;Food and grocery;Mobile & accessories,4,Yes,"Better checking of products, reliability"
USA,California,San Francisco,23,Online shopping,"Quick, variety of choices",Amazon,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Games,4,Maybe,"Better offers, discounts",,,,,
UAE,Dubai,Dubai,25,Online shopping,"Better offers, variety",Amazon;souq.com,Clothing;Footwear;Electronics & appliances,5,Maybe,"More discounts, faster services",,,,,
USA,Washington ,Seattle,24,Online shopping,"Convenient, Quick",Amazon,Clothing;Footwear;Mobile & accessories;Electronics & appliances,5,Maybe,"Discounts, better value for money",,,,,
India,Karnataka,Mangalore,35,Local stores,,,,,,,"Well known, better selection ","Clothing;Footwear;Food and grocery;Cosmetics, haircare and skincare;Mobile & accessories;Books",5,Maybe,Checking of products
Australia,NSW,Sydney,28,Online shopping,"Simple to use, variety",Amazon;eBay,Clothing;Footwear;Mobile & accessories;Electronics & appliances;Furniture and home decor;Books;Games,5,Yes,"Better service times, more discounts",,,,,
